"Province Name","District Name","DS Division Name","GN Division Name","AS Center","ASC Name","Officer Incharge","Contact Email","Contact Number","Services Available"
,,Anamaduwa,Alankulama,,"Kudathammannawa Wewa",,,,
,,Nawagaththegama,Rambakanayagama,Nawagaththegama,"Weeragas Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Pahala boogaha Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Kotuwallewa Wewa",,,,
,,Nawagaththegama,Miyellewa,,"Govi palliya Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Amunu Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Weera Wewa",,,,
,,Nawagaththegama,Amunuwewa,,"Damuna Amuna",,,,
,,Vengalacheddikulam,Kanthasaminager,Kurukkalputhukulam,Niththikkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",Cheddikulam,Koolankulam,,,,
,,Vengalacheddikulam,Sinnasippikulam,,"Sinna Chippikulam",,,,
,,Vengalacheddikulam,kankankulam,,Kankankulam,,,,
,,Vengalacheddikulam,Kiristhavakulam,,Kiristhavakulam,,,,
,,Vengalacheddikulam,Neriyakulam,,Kunuvaikulam,,,,
,,Vengalacheddikulam,Sooduventhapulavu,Kurukkalputhukulam,Karunkalikkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",Cheddikulam,"Navatkuda Anicut",,,,
,,Vengalacheddikulam,Cheddikulam,,Musalkuththikkulam,,,,
,,Vengalacheddikulam,Muthaliyarkulam,,Karampaimadu,,,,
,,Vengalacheddikulam,Kannadi,Kurukkalputhukulam,Kollankulam,,,,
,,Vengalacheddikulam,Periyakaddu,Cheddikulam,Kalliyamurippukulam,,,,
,,Vengalacheddikulam,Cheddikulam,,olumadukkulam,,,,
,,Vengalacheddikulam,"Unit-9,10",,Kurinchakulam,,,,
,,Vengalacheddikulam,Cheddikulam,,Cheddikulam,,,,
,,Vengalacheddikulam,Periyapuliyalankulam,,Mayilmuddiyiddakulam,,,,
,,Vengalacheddikulam,Periyapuliyalankulam,,Periyapuliyalankulam,,,,
,,Vavuniya,Asikulam,Kovilkulam,Illuppaikulam,,,,
,,Vavuniya,Asikulam,,Periyakomarasankulam,,,,
,,Vavuniya,Asikulam,,Periyakalveerankulam,,,,
,,Vavuniya,Asikulam,,Asikulam,,,,
,,Vavuniya,Asikulam,,Sinnakalveerankulam,,,,
,,Vavuniya,Asikulam,,Kalnaddinakulam,,,,
,,Vavuniya,Asikulam,,Pirappankulam,,,,
,,Vavuniya,Asikulam,,Nochchikulam,,,,
,,"Vavuniya South",Kalukunnammaduwa,Madukanda,Kalukunnammaduwa,,,,
,,Vavuniya,Asikulam,Kovilkulam,Tharanikulam,,,,
,,Vavuniya,Asikulam,Kovilkulam,Sinnakomarasankulam,,,,
,,"Vavuniya South",Allagalla,Madukanda,"Aluthgama Wewa",,,,
,,Vengalacheddikulam,Andiyapuliankulam,Cheddikulam,Udaiyarkulam,,,,
Northern,Mannar,Musali,Veppankulam,potkerni,Vannakulam,,,,
,,Musali,"S.P Potkerni",,"S.P. Potkerni",,,,
,,Musali,Veppankulam,,Karunkalaithalvu,,,,
,,Musali,Puthuveli,Silawathurai,Sadayappan,,,,
,,Musali,Maruthamadu,potkerni,Palayadikulam,,,,
,,Musali,Poonochchi,,Manalkulam,,,,
,,Musali,"P.P Potkerni",,"p.p. potkerni",,,,
,,Musali,Kondachchi,Silawathurai,Kondachchi,,,,
,,Nanattan,Sirukkandal,Murunkan,Kalnaddi,,,,
,,"Manthai West",Minnukkan,Manthai,Mullikandal,,,,
,,Nanattan,Ilahadipiddy,Nanattan,Kathankulam,,,,
,,Nanattan,Vanchiyankulam,Uyilankulam,Puthukamam,,,,
,,Musali,Poonochchi,potkerni,Illanthaimoddai,,,,
,,Musali,Pandaraveli,potkerni,Illathaikulam,,,,
"North Central","Anurdhapura District",Medawachchiya,Lindawewa,Medawachchiya,"Duminnegama Wewa",,,,
,,Medawachchiya,Lindawewa,,"Randenigama Wewa",,,,
,,Medawachchiya,Karambankulama,,"Karambankulama Wewa",,,,
,,Medawachchiya,Karambankulama,,"Kuda Wewa",,,,
,,Medawachchiya,Lindawewa,,"Linda   Wewa   Maha Wewa",,,,
,,Medawachchiya,Prabodhagama,Poonewa,"Nawakkulama Wewa",,,,
,,Ma.Nu.Pa,"Maha Ehetuwewa",Elayapaththuwa,"Kuda Halmilla Wewa",,,,
,,Medawachchiya,Lindawewa,Medawachchiya,"Kuda Wewa",,,,
,,Medawachchiya,Kidawarankulama,Poonewa,"Siyabalagas Wewa",,,,
,,Medawachchiya,Poonewa,,"Poonewa          Maha Wewa",,,,
,,Medawachchiya,Kidawarankulama,,"Kuda  Puliyankulama Wewa",,,,
